"No.","Time","Source","Destination","Protocol","Length","Info"
"61","1.544377","161.49.44.109","192.168.32.32","TCP","60","80  >  49634 [ACK] Seq=2 Ack=2 Win=512 Len=0"
"62","1.887353","165.227.252.212","192.168.32.32","TCP","66","443  >  49710 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400 SACK_PERM WS=128"
"64","2.026543","165.227.252.212","192.168.32.32","TCP","66","443  >  49711 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400 SACK_PERM WS=128"
"65","2.940136","27.49.28.41","192.168.32.32","TLSv1.2","93","Application Data"
"66","2.940136","27.49.28.41","192.168.32.32","TLSv1.2","78","Application Data"
"68","2.940714","27.49.28.41","192.168.32.32","TCP","60","443  >  49720 [FIN, ACK] Seq=64 Ack=1 Win=501 Len=0"
"74","4.224007","161.49.44.109","192.168.32.32","TCP","60","80  >  49640 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0"
"77","4.228729","161.49.44.109","192.168.32.32","TCP","60","80  >  49640 [ACK] Seq=2 Ack=2 Win=512 Len=0"
"78","4.278344","140.82.114.26","192.168.32.32","TCP","66","443  >  47054 [ACK] Seq=1 Ack=2 Win=70 Len=0 SLE=1 SRE=2"
"81","6.328372","161.49.44.109","192.168.32.32","TCP","60","80  >  49646 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0"
"84","6.333918","161.49.44.109","192.168.32.32","TCP","60","80  >  49646 [ACK] Seq=2 Ack=2 Win=512 Len=0"
"85","6.543669","161.49.44.109","192.168.32.32","TCP","60","80  >  49649 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0"
"88","6.549477","161.49.44.109","192.168.32.32","TCP","60","80  >  49649 [ACK] Seq=2 Ack=2 Win=512 Len=0"
"90","7.022620","27.49.28.41","192.168.32.32","UDP","70","443  >  57622 Len=28"
"94","7.046429","192.168.32.1","192.168.32.32","DNS","220","Standard query response 0x1efb A th.bing.com CNAME p-th.bing.com.trafficmanager.net CNAME th.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net A 27.49.28.41 A 161.49.34.224"
"95","7.046762","192.168.32.1","192.168.32.32","DNS","249","Standard query response 0x7aa4 HTTPS th.bing.com CNAME p-th.bing.com.trafficmanager.net CNAME th.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net SOA n0dscx.akamaiedge.net"
"139","7.064767","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"140","7.064767","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"141","7.064847","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"142","7.064874","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"143","7.064951","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"144","7.065012","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"145","7.065067","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"146","7.065140","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"147","7.065224","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"148","7.065263","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"150","7.065382","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"151","7.065414","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"152","7.065473","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"153","7.065528","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"154","7.065587","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"155","7.065644","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"156","7.065699","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"157","7.065770","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"158","7.065841","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"159","7.065874","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"160","7.065973","27.49.28.41","192.168.32.32","UDP","71","443  >  57622 Len=29"
"162","7.066040","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"163","7.066099","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"164","7.066142","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"165","7.066242","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"166","7.066279","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"167","7.066348","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"168","7.066405","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"169","7.066459","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"170","7.066522","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"171","7.066597","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"173","7.066643","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"174","7.066712","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"175","7.066766","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"176","7.066834","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"177","7.066899","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"178","7.066974","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"179","7.067036","27.49.28.41","192.168.32.32","UDP","73","443  >  57622 Len=31"
"180","7.067096","27.49.28.41","192.168.32.32","UDP","73","443  >  57622 Len=31"
"181","7.067149","27.49.28.41","192.168.32.32","UDP","73","443  >  57622 Len=31"
"182","7.067209","27.49.28.41","192.168.32.32","UDP","73","443  >  57622 Len=31"
"184","7.067266","27.49.28.41","192.168.32.32","UDP","73","443  >  57622 Len=31"
"185","7.071332","27.49.28.41","192.168.32.32","UDP","394","443  >  57622 Len=352"
"186","7.071478","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"187","7.071575","27.49.28.41","192.168.32.32","UDP","959","443  >  57622 Len=917"
"188","7.071575","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"189","7.071575","27.49.28.41","192.168.32.32","UDP","63","443  >  57622 Len=21"
"191","7.074028","27.49.28.41","192.168.32.32","UDP","301","443  >  57622 Len=259"
"192","7.074190","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"193","7.074190","27.49.28.41","192.168.32.32","UDP","321","443  >  57622 Len=279"
"194","7.074190","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"195","7.074290","27.49.28.41","192.168.32.32","UDP","120","443  >  57622 Len=78"
"196","7.074290","27.49.28.41","192.168.32.32","UDP","139","443  >  57622 Len=97"
"198","7.074369","27.49.28.41","192.168.32.32","UDP","120","443  >  57622 Len=78"
"199","7.074497","27.49.28.41","192.168.32.32","UDP","138","443  >  57622 Len=96"
"200","7.074497","27.49.28.41","192.168.32.32","UDP","122","443  >  57622 Len=80"
"201","7.074631","27.49.28.41","192.168.32.32","UDP","122","443  >  57622 Len=80"
"202","7.074631","27.49.28.41","192.168.32.32","UDP","119","443  >  57622 Len=77"
"203","7.074631","27.49.28.41","192.168.32.32","UDP","123","443  >  57622 Len=81"
"204","7.074719","27.49.28.41","192.168.32.32","UDP","122","443  >  57622 Len=80"
"205","7.074846","27.49.28.41","192.168.32.32","UDP","123","443  >  57622 Len=81"
"206","7.074846","27.49.28.41","192.168.32.32","UDP","120","443  >  57622 Len=78"
"207","7.074954","27.49.28.41","192.168.32.32","UDP","120","443  >  57622 Len=78"
"208","7.074954","27.49.28.41","192.168.32.32","UDP","120","443  >  57622 Len=78"
"209","7.075057","27.49.28.41","192.168.32.32","UDP","140","443  >  57622 Len=98"
"210","7.075057","27.49.28.41","192.168.32.32","UDP","125","443  >  57622 Len=83"
"211","7.075207","27.49.28.41","192.168.32.32","UDP","125","443  >  57622 Len=83"
"212","7.075207","27.49.28.41","192.168.32.32","UDP","122","443  >  57622 Len=80"
"213","7.075207","27.49.28.41","192.168.32.32","UDP","125","443  >  57622 Len=83"
"214","7.075301","27.49.28.41","192.168.32.32","UDP","125","443  >  57622 Len=83"
"215","7.075397","27.49.28.41","192.168.32.32","UDP","125","443  >  57622 Len=83"
"216","7.075397","27.49.28.41","192.168.32.32","UDP","125","443  >  57622 Len=83"
"218","7.075482","27.49.28.41","192.168.32.32","UDP","125","443  >  57622 Len=83"
"219","7.075482","27.49.28.41","192.168.32.32","UDP","144","443  >  57622 Len=102"
"220","7.075573","27.49.28.41","192.168.32.32","UDP","125","443  >  57622 Len=83"
"221","7.075684","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"222","7.075684","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"223","7.075684","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"224","7.075771","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"225","7.075771","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"226","7.075771","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"227","7.075771","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"228","7.075771","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"229","7.075771","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"230","7.075771","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"231","7.075904","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"232","7.075904","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"233","7.075904","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"234","7.075904","27.49.28.41","192.168.32.32","UDP","761","443  >  57622 Len=719"
"235","7.075904","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"236","7.075904","27.49.28.41","192.168.32.32","UDP","748","443  >  57622 Len=706"
"237","7.075904","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"238","7.075904","27.49.28.41","192.168.32.32","UDP","343","443  >  57622 Len=301"
"239","7.075904","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"240","7.075904","27.49.28.41","192.168.32.32","UDP","576","443  >  57622 Len=534"
"242","7.076029","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"243","7.076029","27.49.28.41","192.168.32.32","UDP","1001","443  >  57622 Len=959"
"244","7.076306","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"245","7.076306","27.49.28.41","192.168.32.32","UDP","1089","443  >  57622 Len=1047"
"248","7.076590","27.49.28.41","192.168.32.32","UDP","128","443  >  57622 Len=86"
"249","7.076651","27.49.28.41","192.168.32.32","UDP","129","443  >  57622 Len=87"
"250","7.076761","27.49.28.41","192.168.32.32","UDP","130","443  >  57622 Len=88"
"251","7.076761","27.49.28.41","192.168.32.32","UDP","127","443  >  57622 Len=85"
"252","7.076877","27.49.28.41","192.168.32.32","UDP","128","443  >  57622 Len=86"
"253","7.076877","27.49.28.41","192.168.32.32","UDP","152","443  >  57622 Len=110"
"254","7.076877","27.49.28.41","192.168.32.32","UDP","128","443  >  57622 Len=86"
"255","7.077031","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"256","7.077031","27.49.28.41","192.168.32.32","UDP","1371","443  >  57622 Len=1329"
"257","7.077031","27.49.28.41","192.168.32.32","UDP","152","443  >  57622 Len=110"
"258","7.077031","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"259","7.077116","27.49.28.41","192.168.32.32","UDP","963","443  >  57622 Len=921"
"260","7.077116","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"261","7.077116","27.49.28.41","192.168.32.32","UDP","880","443  >  57622 Len=838"
"262","7.077116","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"263","7.077116","27.49.28.41","192.168.32.32","UDP","1042","443  >  57622 Len=1000"
"264","7.077116","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"265","7.077116","27.49.28.41","192.168.32.32","UDP","560","443  >  57622 Len=518"
"266","7.077229","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"267","7.077229","27.49.28.41","192.168.32.32","UDP","506","443  >  57622 Len=464"
"268","7.077229","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"269","7.077229","27.49.28.41","192.168.32.32","UDP","975","443  >  57622 Len=933"
"270","7.077229","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"271","7.077229","27.49.28.41","192.168.32.32","UDP","968","443  >  57622 Len=926"
"272","7.077229","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"273","7.077229","27.49.28.41","192.168.32.32","UDP","844","443  >  57622 Len=802"
"274","7.077229","27.49.28.41","192.168.32.32","UDP","152","443  >  57622 Len=110"
"275","7.077375","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"276","7.077375","27.49.28.41","192.168.32.32","UDP","819","443  >  57622 Len=777"
"277","7.077375","27.49.28.41","192.168.32.32","UDP","134","443  >  57622 Len=92"
"278","7.077375","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"279","7.077375","27.49.28.41","192.168.32.32","UDP","641","443  >  57622 Len=599"
"280","7.077456","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"281","7.077456","27.49.28.41","192.168.32.32","UDP","833","443  >  57622 Len=791"
"282","7.077519","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"283","7.077519","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"284","7.077519","27.49.28.41","192.168.32.32","UDP","523","443  >  57622 Len=481"
"285","7.077519","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"286","7.077519","27.49.28.41","192.168.32.32","UDP","664","443  >  57622 Len=622"
"287","7.077519","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"288","7.077519","27.49.28.41","192.168.32.32","UDP","853","443  >  57622 Len=811"
"289","7.077632","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"290","7.077632","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"294","7.079100","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"295","7.079100","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"297","7.079242","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"298","7.079242","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"299","7.079242","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"300","7.079242","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"301","7.079331","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"302","7.079331","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"303","7.079331","27.49.28.41","192.168.32.32","UDP","544","443  >  57622 Len=502"
"304","7.079331","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"305","7.079423","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"306","7.079532","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"307","7.079532","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"308","7.079532","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"309","7.079641","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"310","7.079641","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"311","7.079641","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"312","7.079641","27.49.28.41","192.168.32.32","UDP","261","443  >  57622 Len=219"
"313","7.079641","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"314","7.079641","27.49.28.41","192.168.32.32","UDP","1069","443  >  57622 Len=1027"
"315","7.079641","27.49.28.41","192.168.32.32","UDP","68","443  >  57622 Len=26"
"316","7.079641","27.49.28.41","192.168.32.32","UDP","66","443  >  57622 Len=24"
"317","7.079641","27.49.28.41","192.168.32.32","UDP","66","443  >  57622 Len=24"
"318","7.079641","27.49.28.41","192.168.32.32","UDP","66","443  >  57622 Len=24"
"319","7.079641","27.49.28.41","192.168.32.32","UDP","66","443  >  57622 Len=24"
"320","7.079873","27.49.28.41","192.168.32.32","UDP","134","443  >  57622 Len=92"
"321","7.079873","27.49.28.41","192.168.32.32","UDP","146","443  >  57622 Len=104"
"322","7.079873","27.49.28.41","192.168.32.32","UDP","133","443  >  57622 Len=91"
"323","7.079969","27.49.28.41","192.168.32.32","UDP","134","443  >  57622 Len=92"
"324","7.080065","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"325","7.080065","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"326","7.080065","27.49.28.41","192.168.32.32","UDP","711","443  >  57622 Len=669"
"327","7.080065","27.49.28.41","192.168.32.32","UDP","1454","443  >  57622 Len=1412"
"328","7.080065","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"329","7.080065","27.49.28.41","192.168.32.32","UDP","656","443  >  57622 Len=614"
"330","7.080700","27.49.28.41","192.168.32.32","UDP","66","443  >  57622 Len=24"
"331","7.080700","27.49.28.41","192.168.32.32","UDP","134","443  >  57622 Len=92"
"332","7.080700","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"333","7.080700","27.49.28.41","192.168.32.32","UDP","505","443  >  57622 Len=463"
"338","7.084156","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"339","7.084156","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"341","7.084231","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"342","7.084286","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"343","7.084286","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"344","7.084286","27.49.28.41","192.168.32.32","UDP","631","443  >  57622 Len=589"
"346","7.084383","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"347","7.084383","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"348","7.084383","27.49.28.41","192.168.32.32","UDP","1259","443  >  57622 Len=1217"
"351","7.084755","27.49.28.41","192.168.32.32","UDP","73","443  >  57622 Len=31"
"352","7.084847","27.49.28.41","192.168.32.32","UDP","64","443  >  57622 Len=22"
"353","7.084847","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"354","7.084847","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"355","7.084847","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"356","7.084950","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"357","7.084950","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"358","7.084950","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"359","7.085297","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"360","7.085297","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"361","7.085386","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"362","7.088380","27.49.28.41","192.168.32.32","UDP","67","443  >  57622 Len=25"
"365","7.095798","27.49.28.41","192.168.32.32","UDP","67","443  >  57622 Len=25"
"369","7.102323","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"370","7.103546","27.49.28.41","192.168.32.32","UDP","72","443  >  57622 Len=30"
"372","7.105089","27.49.28.41","192.168.32.32","UDP","254","443  >  57622 Len=212"
"373","7.105089","27.49.28.41","192.168.32.32","UDP","63","443  >  57622 Len=21"
"376","7.118849","27.49.28.41","192.168.32.32","UDP","73","443  >  57622 Len=31"
"379","7.287378","27.49.28.41","192.168.32.32","UDP","73","443  >  57622 Len=31"
"381","7.332755","27.49.28.41","192.168.32.32","UDP","620","443  >  57622 Len=578"
"382","7.332866","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"383","7.332866","27.49.28.41","192.168.32.32","UDP","419","443  >  57622 Len=377"
"384","7.332866","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"386","7.353173","27.49.28.41","192.168.32.32","UDP","67","443  >  57622 Len=25"
"387","7.360943","27.49.28.41","192.168.32.32","UDP","145","443  >  57622 Len=103"
"388","7.361313","27.49.28.41","192.168.32.32","UDP","1423","443  >  57622 Len=1381"
"389","7.361556","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"391","7.365718","27.49.28.41","192.168.32.32","UDP","67","443  >  57622 Len=25"
"392","7.419267","27.49.28.41","192.168.32.32","UDP","270","443  >  57622 Len=228"
"393","7.428452","27.49.28.41","192.168.32.32","UDP","1494","443  >  57622 Len=1452"
"394","7.428452","27.49.28.41","192.168.32.32","UDP","125","443  >  57622 Len=83"
"396","7.428886","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"398","7.432738","27.49.28.41","192.168.32.32","UDP","67","443  >  57622 Len=25"
"399","7.458669","27.49.28.41","192.168.32.32","UDP","593","443  >  57622 Len=551"
"400","7.458669","27.49.28.41","192.168.32.32","UDP","1211","443  >  57622 Len=1169"
"401","7.458669","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"403","7.465185","27.49.28.41","192.168.32.32","UDP","67","443  >  57622 Len=25"
"405","7.528039","27.49.28.41","192.168.32.32","UDP","73","443  >  57622 Len=31"
"407","7.703059","27.49.28.41","192.168.32.32","UDP","161","443  >  57622 Len=119"
"408","7.703165","27.49.28.41","192.168.32.32","UDP","1309","443  >  57622 Len=1267"
"409","7.703165","27.49.28.41","192.168.32.32","UDP","65","443  >  57622 Len=23"
"446","7.715172","27.49.28.41","192.168.32.32","UDP","73","443  >  57622 Len=31"
"447","7.715248","27.49.28.41","192.168.32.32","UDP","67","443  >  57622 Len=25"
"448","7.715330","27.49.28.41","192.168.32.32","UDP","67","443  >  57622 Len=25"
"461","7.723718","27.49.28.41","192.168.32.32","UDP","67","443  >  57622 Len=25"
"462","7.724245","27.49.28.41","192.168.32.32","UDP","67","443  >  57622 Len=25"
"463","7.724749","27.49.28.41","192.168.32.32","UDP","67","443  >  57622 Len=25"
"464","7.799456","27.49.28.41","192.168.32.32","UDP","250","443  >  57622 Len=208"
"465","7.799514","27.49.28.41","192.168.32.32","UDP","64","443  >  57622 Len=22"
"467","7.817197","27.49.28.41","192.168.32.32","UDP","67","443  >  57622 Len=25"
"468","8.946245","140.82.114.21","192.168.32.32","TLSv1.2","93","Application Data"
"469","8.946245","140.82.114.21","192.168.32.32","TLSv1.2","78","Application Data"
"470","8.946853","140.82.114.21","192.168.32.32","TCP","60","443  >  49521 [FIN, ACK] Seq=64 Ack=1 Win=103 Len=0"
"476","9.204857","140.82.114.21","192.168.32.32","TCP","60","443  >  49521 [RST] Seq=65 Win=0 Len=0"
